Parameter_C	L1	L2	L3
-1.75965	0.0024471734257967065	-3.942974470722317e-05	-0.6955549242410348
-1.7596491	0.0023273890120258855	-9.823410612882987e-05	-0.6953763354658423
-1.7596482	0.0023747270629449336	-4.373771302065946e-05	-0.6954781699098695
-1.7596473	0.002332579159579609	4.205861654057264e-05	-0.6955218183360655
-1.7596464	0.0021695030364764817	-7.973993599510009e-05	-0.6952369436604267
-1.7596455	0.002232481087652671	2.4836894549294998e-05	-0.6954044985421473
-1.7596446	0.001787861739506282	-2.5870601495996424e-05	-0.6949091716979556
-1.7596437	0.001480990895029923	9.147254282512766e-06	-0.6946373187092577
-1.7596428	0.0016804835260791533	-0.00016394697806515978	-0.6946637171079594
-1.7596419	0.0015109944137242646	-1.280373270467065e-05	-0.6946453712409649
-1.759641	0.002196902360178236	-7.456553418068195e-05	-0.6952695173859429
-1.7596401	0.002277529855937275	-0.00027315452597863874	-0.695151555889904
-1.7596392	0.0019312144073402179	-5.919304622176402e-05	-0.6950192019210637
-1.7596383	0.0019635521381407514	-0.00011405896314229577	-0.6949966737349438
-1.7596374	0.002201095656362481	3.7754147026723896e-05	-0.6953860303633345
-1.7596365	0.0017013672814931644	-0.00026153106437063514	-0.6945870167770678
-1.7596356	0.0016760408628387902	-8.679654656484574e-05	-0.6947364248762192
-1.7596347	0.002043385002489019	-2.1987385113953116e-05	-0.6951685781773204
-1.7596338	0.002414849059258266	-6.125386093833346e-05	-0.6955007757582653
-1.7596329	0.0017041217722097636	-2.2709796559918075e-05	-0.6948285925355951
-1.759632	0.0018763812146139805	-0.0003375911121738982	-0.6946859706623854
-1.7596311	0.0015594560286065168	-7.324458374213982e-05	-0.6946333920048097
-1.7596302	0.001943538440299682	-0.00016801641843491942	-0.69492270258181
-1.7596293	0.0020630199018924354	2.4971129111540356e-05	-0.6952351715909493
-1.7596284	0.001620109916865096	-0.00016566410930951719	-0.6946016263675009
-1.7596275	0.0022697677881011666	-1.3578672593447506e-05	-0.695403369675453
-1.7596266	0.0021322314250412236	-0.00020696685141429087	-0.6950724451335722
-1.7596257	0.001555176163438186	4.036586332193183e-06	-0.6947063933097157
-1.7596248	0.0016208775929176863	1.8122462756195322e-05	-0.6947861806156191
-1.7596239	0.0017071667032250327	-6.686338800729724e-05	-0.6947874838751631
-1.759623	0.002015975098927304	3.3459492045675986e-05	-0.6951966151509182
-1.7596221	0.0017357499088107157	6.1020350205953126e-05	-0.694943950818962
-1.7596212	0.001922785237217584	8.752441731960271e-05	-0.6951574902144825
-1.7596203	0.0012616602920642898	6.503580104628147e-05	-0.6944738766530559
-1.7596194	0.001402894391389345	0.00012502656193626112	-0.6946751015132709
-1.7596185	0.0015881775163087467	-6.373581965016104e-05	-0.694671622256604
-1.7596176	0.0014891345555585966	-0.00013416316235175937	-0.6945021519531521
-1.7596167	0.0015319387860920693	-0.00012013468798474457	-0.6945589846580527
-1.7596158	0.001967623778675856	-0.00030357131823349005	-0.6948112330203877
-1.7596149	0.0013489626416898245	-7.23587095891997e-05	-0.694423784492046
-1.759614	0.0014578370062076143	-6.673086409728825e-05	-0.6945382867020556
-1.7596131	0.0012743775492470909	-0.00018803257895872022	-0.6942335255302337
-1.7596122	0.0010831470478072326	-0.00045395122009963515	-0.6937763763876529
-1.7596113	0.0016680192474820155	-5.0233801341657545e-05	-0.6947649660060856
-1.7596104	0.001568006137042569	8.919072872038134e-05	-0.6948043774257082
-1.7596095	0.0016120932757061933	-5.512583688326895e-05	-0.6947041479987682
-1.7596086	0.002036397578502972	-6.453584096392117e-05	-0.6951190422974843
-1.7596077	0.0017147748453473191	3.533351000454114e-05	-0.6948972889152971
-1.7596068	0.001724398034946872	-2.1989729472684222e-05	-0.6948495888654195
-1.7596059	0.0019353158151315785	-0.00017084450604222025	-0.6949116518690347
-1.759605	0.0013140031169600423	-0.00019830302735767913	-0.6942628806495477
-1.7596041	0.0012196776092622855	1.5693869681889137e-05	-0.6943825520388894
-1.7596032	0.0013135990466786383	-0.00035062152926411476	-0.6941101580773599
-1.7596023	0.0018211899496810304	-0.00033905877948250805	-0.6946293117301439
-1.7596014	0.001200716960618797	-9.430051274480567e-05	-0.6942535970078193
-1.7596005	0.0009525668930043087	-5.74339392740462e-05	-0.6940423135136756
-1.7595996	0.0018009791553675527	-8.6247762315269e-06	-0.6949395349390813
-1.7595987	0.0014496237581467521	-0.00028418905516520987	-0.6943126152629269
-1.7595978	0.0012950717263709513	-7.876611673750025e-05	-0.6943634861695788
-1.7595969	0.001777465045690383	-0.00010269012922079225	-0.6948219554764149
-1.759596	0.0012436865861327933	-0.00017692547466154857	-0.6942139416714166
-1.7595951	0.0011655162140727007	1.0276540787637632e-05	-0.6943229733148056
-1.7595942	0.001007027662393361	-5.074806698734392e-05	-0.6941034601553513
-1.7595933	0.0009737614842854659	5.960928372488149e-06	-0.6941269029726033
-1.7595924	0.001375390238640267	-0.00014934203199990786	-0.6943732287665857
-1.7595915	0.001455602678767578	-0.0004412201512459368	-0.6941615630874669
-1.7595906	0.0011475441644132622	-0.00024754657585033835	-0.6940471781485082
-1.7595897	0.0009783696290059745	-0.0003739803664306662	-0.6937515698225206
-1.7595888	0.0016589935541721354	-0.0003258182582919945	-0.6944803558558255
-1.7595879	0.0013319477135322116	-0.00041312099600999725	-0.6940660072774675
-1.759587	0.001678795402868354	-9.114634999091437e-05	-0.6947348296128227
-1.7595861	0.001007314725339672	-0.00014360808147667766	-0.6940108872038083
-1.7595852	0.0012210698125860182	-0.0002064091474944787	-0.6941618412250369
-1.7595843	0.0012908702633565691	-0.00028293044426113887	-0.6941551203790407
-1.7595834	0.0011698948331970464	-0.0004990984517257132	-0.6938179769414167
-1.7595825	0.001087789737173668	-0.00013653930901999894	-0.694098430988099
-1.7595816	0.0012022834591562217	-2.52194401221876e-05	-0.6943242445789793
-1.7595807	0.001231274440531594	-0.00022912704088686616	-0.6941493279595901
-1.7595798	0.0017536598539923903	-0.00020713396708479175	-0.6946937064468529
-1.7595789	0.001675763612772646	-6.751041768594526e-05	-0.694755433755032
-1.759578	0.0012082897695676218	1.4269913155117495e-05	-0.6943697402426681
-1.7595771	0.0007806744208311296	-0.00037693745750724356	-0.6935509175232693
-1.7595762	0.001350813724719849	-0.00016242339039109204	-0.694335570894274
-1.7595753	0.0013389609147247063	-0.00017840986660683805	-0.6943077316080631
-1.7595744	0.001394628026011396	-6.449917725014831e-07	-0.6945411635941842
-1.7595735	0.0006263694649537272	-0.0005077934201337443	-0.6932657566047653
-1.7595726	0.0010791007763266702	-0.00011306371894254822	-0.6941132176173295
-1.7595717	0.000811797735346104	-0.00011209776894047856	-0.6938468805263509
-1.7595708	0.0008006414614602072	-0.0003484667871361036	-0.6935993552342694
-1.7595699	0.0007577096838985617	-0.0006089763861332653	-0.6932959138577106
-1.759569	0.0008407711052934395	-0.0006055665310881253	-0.6933823851341506
-1.7595681	0.0006625926167378688	-0.0007052168251020059	-0.6931045563515812
-1.7595672	0.0005476118945617215	-0.0009787445342705147	-0.6927160479202366
-1.7595663	0.0005533119501054517	-0.0006352577971109127	-0.6930652347129399
-1.7595654	0.0008617384384017522	-0.0007559262095313321	-0.6932529927888157
-1.7595645	0.0007345220356051564	-0.0006301212713433754	-0.6932515813242071
-1.7595636	0.0004955092817576194	-0.0007122849396471149	-0.6929304049020558
-1.7595627	0.0009496426438794343	-0.0009015348294070971	-0.6931952883744177
-1.7595618	0.0011217900588735028	-0.0004996475688688019	-0.69376932304995
-1.7595609	0.0007257572715041987	-0.00056158235665453	-0.693311355474795
-1.75956	0.0005133830453047016	-0.0005016322923244269	-0.6931589313129256
-1.7595591	0.0009587358995464448	-0.0007938776038425549	-0.6933120388556492
-1.7595582	0.0008463161384348306	-0.0005921853673853693	-0.6934013113309948
-1.7595573	0.0006248171201336678	-0.0008749225330006113	-0.6928970751470783
-1.7595564	0.00048438974886358936	-0.0007110944755768446	-0.6929204758332321
-1.7595555	0.000660737330500772	-0.000904055765463509	-0.6929038621249826
-1.7595546	0.0007129718633492288	-0.0014201587979657253	-0.6924399936253288
-1.7595537	0.00015846990334570786	-0.0009168581864120888	-0.6923887922768789
-1.7595528	0.0005416872613535652	-0.001129968350115693	-0.6925588994711832
-1.7595519	0.0005620595157775812	-0.0008881095520983987	-0.6928211305236245
-1.759551	0.0003223438479404273	-0.0008724227562046916	-0.6925971016516811
-1.7595501	0.0008841988369588516	-0.0009587490466775403	-0.6930726303502266
-1.7595492	0.0007687061104911502	-0.0013899896412564751	-0.69252589702918
-1.7595483	0.00034339067829449073	-0.0012939333289858205	-0.692196637909254
-1.7595474	0.0003511499156164304	-0.001124791316934472	-0.6923735391586273
-1.7595465	0.0002677765734960084	-0.0014362612343829613	-0.6919786958990584
-1.7595456	0.0004120719080360351	-0.001620439177467388	-0.691938813290514
-1.7595447	0.00033912801412461295	-0.002006899046276499	-0.6914794095277934
-1.7595438	0.00035188432686707205	-0.0016849352056218805	-0.6918141296811905
-1.7595429	0.0005578400884795457	-0.001878754891163847	-0.691826265757261
-1.759542	0.0009946312272273703	-0.0013594942736114436	-0.6927823175135612
-1.7595411	0.000459536819221915	-0.002088015720258429	-0.6915187016589088
-1.7595402	0.00060591569947168	-0.0021146697296480525	-0.6916384265297689
-1.7595393	0.0006032642872721782	-0.002293551772554217	-0.6914568930746633
-1.7595384	0.0007471694562571038	-0.0021811379866739622	-0.6917132120295284
-1.7595375	0.0003632682991306215	-0.0018810335647974203	-0.6916294152942786
-1.7595366	0.0005375275705979261	-0.0018310066230720478	-0.6918537015074712
-1.7595357	0.0006964275530487793	-0.0019209048094413603	-0.6919227033035528
-1.7595348	0.00042331664302231055	-0.0018300165523052465	-0.6917404806506624
-1.7595339	0.00029059223262321366	-0.0018654845842855589	-0.691572288208283
-1.759533	0.00021407568023970174	-0.001709947698448126	-0.6916513085417368
-1.7595321	0.0004101586971592822	-0.0016653733934047315	-0.6918919658636998
-1.7595312	0.0003912270104745703	-0.0016516225419739871	-0.6918867850284459
-1.7595303	0.0004193660816006028	-0.0017325658844157819	-0.6918339807571301
-1.7595294	0.0002922272443515475	-0.0016635300652410138	-0.6917758777390558
-1.7595285	0.0003315186357001789	-0.0018529068833604066	-0.691625792312285
-1.7595276	0.0006759255920924324	-0.0010684257847822431	-0.6927546803672555
-1.7595267	0.0004994059571633812	-0.0015353989944692594	-0.6921111875226393
-1.7595258	0.000724916491612551	-0.0016832636806117943	-0.692188833370946
-1.7595249	0.0006831071479127667	-0.0016190944068938372	-0.6922111933009643
-1.759524	0.00043799497446724163	-0.0013831743830777365	-0.6922020011513348
-1.7595231	0.00018065930181084713	-0.0013819456992785852	-0.6919458941624775
-1.7595222	0.00032646192484614016	-0.0017545781401191664	-0.6917190643446722
-1.7595213	0.00046004740828215146	-0.0012458324496854298	-0.692361395518542
-1.7595204	0.0004419876751132704	-0.0016599792752111035	-0.6919291889598475
-1.7595195	0.0003456100584860439	-0.0018023637669235633	-0.6916904268515078
-1.7595186	0.00024194906560115215	-0.0019889953903689662	-0.6914001342351775
-1.7595177	0.0003581432972783589	-0.0019750853074880937	-0.6915302385497355
-1.7595168	0.0006580741191784101	-0.0015604996841152385	-0.6922447549950085
-1.7595159	0.0005537229972992367	-0.0014065767675352258	-0.6922943267897093
-1.759515	0.00044618183421978264	-0.0014326859169769494	-0.6921606764771882
-1.7595141	0.000600058622124786	-0.0013677603276896675	-0.6923794788543804
-1.7595132	0.0004043726751768549	-0.001269027896127443	-0.6922825253389947
-1.7595123	0.0005457567689534773	-0.0011504415835773404	-0.6925424957453215
-1.7595114	0.0003481628536099389	-0.0011525987223805143	-0.6923427446911747
-1.7595105	0.00023218889564493762	-0.0012366362160745829	-0.6921427332395157
-1.7595096	0.0001618566911388768	-0.0011259783107750705	-0.6921830589403092
-1.7595087	0.00023952776520939722	-0.001145167716847958	-0.6922415406083068
-1.7595078	0.0004729721295909724	-0.0008550116403497068	-0.6927651410491865
-1.7595069	0.00012672759273570658	-0.0009320205754473098	-0.6923418875772337
-1.759506	0.0002141798392637165	-0.0007919633931809774	-0.692569397006028
-1.7595051	0.00024110598697977002	-0.0009681362312130152	-0.692420150315712
-1.7595042	0.00028753855791839654	-0.000651433021261154	-0.6927832860966026
-1.7595033	0.00040608579565775077	-0.0006771238758887824	-0.6928761424797143
-1.7595024	0.0003946282182809869	-0.0005212258021615704	-0.6930205829760647
-1.7595015	0.00028379709931215954	-0.0008036580685439215	-0.6926273195907136
-1.7595006	0.00020793230837740667	-0.0006072494347616899	-0.692747863433561
-1.7594997	1.3451798127296807e-05	-0.0007177338039923074	-0.6924428985540804
-1.7594988	0.00024410046002906107	-0.0005766073662580706	-0.6928146736537163
-1.7594979	0.00014404782407712114	-0.000863011482285532	-0.692428216901737
-1.759497	0.0005774353275606535	-0.000503178749378169	-0.6932214371381278
-1.7594961	0.00021418791998919216	-0.0006088131255995858	-0.6927525553543349
-1.7594952	0.00011777849024170226	-0.0010395985267729238	-0.6922253605234141
-1.7594943	-7.138579825517204e-05	-0.0008005166077096374	-0.6922752781539805
-1.7594934	9.448583307812027e-05	-0.000753766809889269	-0.6924878995831342
-1.7594925	0.00027095924973739134	-0.0005345478786902782	-0.6928835919309924
-1.7594916	0.00036992546176579005	-0.0006183132424845245	-0.6928987927792265
-1.7594907	0.0003229326852669946	-0.0006881334472781928	-0.6927819797979341
-1.7594898	0.0002966864195026212	-0.0005521650940344992	-0.6928917018854135
-1.7594889	0.00029821960179904843	-0.00024775070325085244	-0.6931976494584936
-1.759488	0.00033356639629089077	-0.0005236246212546895	-0.6929571223349815
-1.7594871	5.8569730680543734e-05	-0.0006322672544639045	-0.692573483036162
-1.7594862	0.0003465699678201685	-0.0003153648229238714	-0.6931783857048416
-1.7594853	0.0003611571122666124	-0.0007267190829213453	-0.6927816185892905
-1.7594844	6.238089151576218e-05	-0.0004941751985408185	-0.6927153862529203
-1.7594835	0.0002494432936671579	-0.00014037334564709916	-0.6932562505079654
-1.7594826	0.0004693881716540207	-0.0006794821125171628	-0.6929370866190822
-1.7594817	0.0006359124656740137	-0.00021431691633447318	-0.6935687761092848
-1.7594808	0.0001964913782231825	-0.000667877121763342	-0.6926757948164052
-1.7594799	9.63185845864427e-05	-0.0006806005693678009	-0.692562898575164
-1.759479	0.00015874213723576585	-0.00038301197595934215	-0.6929229107212217
-1.7594781	0.0001071004563162926	-0.00020236201113661527	-0.693051919005125
-1.7594772	0.0001796280060694132	-0.000472285729977584	-0.6928545228360371
-1.7594763	0.00031373858880767404	-0.00032068922281519574	-0.6931402299259378
-1.7594754	8.905893498823095e-05	-0.0006063653953989025	-0.6926298740995346
-1.7594745	3.855308473647393e-05	-0.0011929574463945666	-0.6919927761982871
-1.7594736	0.00013001148200543627	-0.0007217270024245729	-0.6925554650395263
-1.7594727	0.00013336529537280383	-0.0009296098564969489	-0.6923509359988211
-1.7594718	0.00011032428723653523	-0.0007857646088852644	-0.6924717402382965
-1.7594709	-2.105566051472707e-05	-0.0005526482035437551	-0.6925734766958869
-1.75947	3.160778332032229e-05	-0.0007370180387734572	-0.6924417703044922
-1.7594691	0.00013135545932322487	-0.0009300100303478464	-0.6923485259889207
-1.7594682	0.00014530512091249348	-0.0008599052985637438	-0.692432580382294
-1.7594673	0.00025110987692303176	-0.0008710140270649834	-0.6925272764098034
-1.7594664	0.00011506287282498648	-0.0010090798749885705	-0.6922531635577817
-1.7594655	9.632911484944772e-05	-0.0006150149029007108	-0.692628494771894
-1.7594646	-8.224044780567219e-07	-0.0010536751543963041	-0.692092683001071
-1.7594637	2.475510636849091e-05	-0.0010391566158543947	-0.6921327790504593
-1.7594628	-8.146468692371797e-06	-0.0009016654650634631	-0.6922373686261895
-1.7594619	-6.423125924539707e-05	-0.001133021347383618	-0.6919499279533163
-1.759461	3.624737330487484e-06	-0.0011525789558891031	-0.6919982263413866
-1.7594601	-2.781347638021383e-05	-0.0013809853665265482	-0.6917383817170385
-1.7594592	0.0002236014927959668	-0.0013457479613238439	-0.6920250340914175
-1.7594583	3.09662086829481e-05	-0.001334330986100284	-0.691843815782528
-1.7594574	9.498551470040414e-06	-0.001414904420644378	-0.6917417746907709
-1.7594565	-6.991284666379416e-05	-0.0015032700648904306	-0.6915739976483911
-1.7594556	-1.1782516164969973e-05	-0.0014807245197171921	-0.6916546735240631
-1.7594547	6.094570425058905e-08	-0.0018709848299400655	-0.6912762566757095
-1.7594538	4.396833390608113e-05	-0.001576939769082514	-0.6916142091247689
-1.7594529	6.085913799920001e-05	-0.001772907937013184	-0.6914351317609313
-1.759452	1.7767667147395817e-05	-0.001695806256258749	-0.691469141970834
-1.7594511	4.6664492074597824e-05	-0.0017730778199089936	-0.6914207672321109
-1.7594502	-4.0020998808979846e-05	-0.0015143564619696202	-0.6915928030991667
-1.7594493	-4.2883296756903985e-05	-0.0015762694478810386	-0.6915280278153073
-1.7594484	-6.905871954964995e-05	-0.0016019065170910982	-0.6914762153233046
-1.7594475	2.0575573872030827e-05	-0.0017065094697980537	-0.6914612466640193
-1.7594466	2.1723059637669777e-05	-0.0013845610478218908	-0.6917843425717611
-1.7594457	9.980153600461285e-05	-0.0016028301816020237	-0.6916441519143479
-1.7594448	3.576402751775407e-05	-0.0015298201510462728	-0.6916531244364168
-1.7594439	0.00014443460127329147	-0.0017937059962319136	-0.6914979091649867
-1.759443	7.27514276868171e-05	-0.0015755086714064255	-0.6916444233162257
-1.7594421	4.909059189489704e-06	-0.0018394835212570495	-0.6913126060978777
-1.7594412	0.0001263747245090812	-0.001798543948377374	-0.691475011336077
-1.7594403	7.140068528835577e-05	-0.0018681244895311572	-0.6913504567557025
-1.7594394	0.00012092906334825799	-0.002046852647116989	-0.6912212569761765
-1.7594385	1.2359311724855282e-05	-0.0019982691675692883	-0.6911612707041008
-1.7594376	5.141618800371088e-05	-0.0018993991401916328	-0.6912991976077574
-1.7594367	5.425989942195781e-05	-0.0018126842809367734	-0.6913887561784305
-1.7594358	1.9213121040464626e-05	-0.0020625293558155892	-0.6911038643251702
-1.7594349	0.00013071604984223915	-0.0019831397923766535	-0.6912947568174109
-1.759434	7.092076518551435e-05	-0.002274415471152491	-0.6909436858539784
-1.7594331	6.252657345403268e-05	-0.0025719291835079676	-0.6906377779498913
-1.7594322	4.572857154247304e-05	-0.002518232175300821	-0.6906746769561869
-1.7594313	2.9185787995799844e-06	-0.0024030278893977866	-0.6907470712493471
-1.7594304	4.6535958838825e-05	-0.002561284406267004	-0.6906324321125171
-1.7594295	-2.332761478733796e-05	-0.0023887933782179125	-0.69073505956694
-1.7594286	6.234685592492561e-07	-0.0024612214071524753	-0.6906865826213521
-1.7594277	-2.278819340840395e-07	-0.0026636475289516623	-0.6904833051490595
-1.7594268	-6.249275365610486e-06	-0.0025469708782663927	-0.6905939604063133
-1.7594259	-8.835720271518799e-06	-0.0024068315040357315	-0.6907315133356381
-1.759425	-1.1599774121161115e-05	-0.0023582297038052856	-0.6907773510820189
-1.7594241	-1.6645335066887926e-05	-0.002275471709399882	-0.6908550635154785
-1.7594232	-2.1111322194866607e-05	-0.0017656744799122023	-0.6913603947578382
-1.7594223	-1.9560355332543685e-05	-0.0016033465277160593	-0.6915242736768967
-1.7594214	-1.2631346254460032e-05	-0.001475305588094568	-0.6916592436255963
-1.7594205	-5.592074539562594e-06	-0.0009902265588107942	-0.692151361926595
