Parameter_C,L1,L2
-1.75965,0.0024471734257967065,-3.942974470722317e-05
-1.7596491,0.0023273890120258855,-9.823410612882987e-05
-1.7596482,0.0023747270629449336,-4.373771302065946e-05
-1.7596473,0.002332579159579609,4.205861654057264e-05
-1.7596464,0.0021695030364764817,-7.973993599510009e-05
-1.7596455,0.002232481087652671,2.4836894549294998e-05
-1.7596446,0.001787861739506282,-2.5870601495996424e-05
-1.7596437,0.001480990895029923,9.147254282512766e-06
-1.7596428,0.0016804835260791533,-0.00016394697806515978
-1.7596419,0.0015109944137242646,-1.280373270467065e-05
-1.759641,0.002196902360178236,-7.456553418068195e-05
-1.7596401,0.002277529855937275,-0.00027315452597863874
-1.7596392,0.0019312144073402179,-5.919304622176402e-05
-1.7596383,0.0019635521381407514,-0.00011405896314229577
-1.7596374,0.002201095656362481,3.7754147026723896e-05
-1.7596365,0.0017013672814931644,-0.00026153106437063514
-1.7596356,0.0016760408628387902,-8.679654656484574e-05
-1.7596347,0.002043385002489019,-2.1987385113953116e-05
-1.7596338,0.002414849059258266,-6.125386093833346e-05
-1.7596329,0.0017041217722097636,-2.2709796559918075e-05
-1.759632,0.0018763812146139805,-0.0003375911121738982
-1.7596311,0.0015594560286065168,-7.324458374213982e-05
-1.7596302,0.001943538440299682,-0.00016801641843491942
-1.7596293,0.0020630199018924354,2.4971129111540356e-05
-1.7596284,0.001620109916865096,-0.00016566410930951719
-1.7596275,0.0022697677881011666,-1.3578672593447506e-05
-1.7596266,0.0021322314250412236,-0.00020696685141429087
-1.7596257,0.001555176163438186,4.036586332193183e-06
-1.7596248,0.0016208775929176863,1.8122462756195322e-05
-1.7596239,0.0017071667032250327,-6.686338800729724e-05
-1.759623,0.002015975098927304,3.3459492045675986e-05
-1.7596221,0.0017357499088107157,6.1020350205953126e-05
-1.7596212,0.001922785237217584,8.752441731960271e-05
-1.7596203,0.0012616602920642898,6.503580104628147e-05
-1.7596194,0.001402894391389345,0.00012502656193626112
-1.7596185,0.0015881775163087467,-6.373581965016104e-05
-1.7596176,0.0014891345555585966,-0.00013416316235175937
-1.7596167,0.0015319387860920693,-0.00012013468798474457
-1.7596158,0.001967623778675856,-0.00030357131823349005
-1.7596149,0.0013489626416898245,-7.23587095891997e-05
-1.759614,0.0014578370062076143,-6.673086409728825e-05
-1.7596131,0.0012743775492470909,-0.00018803257895872022
-1.7596122,0.0010831470478072326,-0.00045395122009963515
-1.7596113,0.0016680192474820155,-5.0233801341657545e-05
-1.7596104,0.001568006137042569,8.919072872038134e-05
-1.7596095,0.0016120932757061933,-5.512583688326895e-05
-1.7596086,0.002036397578502972,-6.453584096392117e-05
-1.7596077,0.0017147748453473191,3.533351000454114e-05
-1.7596068,0.001724398034946872,-2.1989729472684222e-05
-1.7596059,0.0019353158151315785,-0.00017084450604222025
-1.759605,0.0013140031169600423,-0.00019830302735767913
-1.7596041,0.0012196776092622855,1.5693869681889137e-05
-1.7596032,0.0013135990466786383,-0.00035062152926411476
-1.7596023,0.0018211899496810304,-0.00033905877948250805
-1.7596014,0.001200716960618797,-9.430051274480567e-05
-1.7596005,0.0009525668930043087,-5.74339392740462e-05
-1.7595996,0.0018009791553675527,-8.6247762315269e-06
-1.7595987,0.0014496237581467521,-0.00028418905516520987
-1.7595978,0.0012950717263709513,-7.876611673750025e-05
-1.7595969,0.001777465045690383,-0.00010269012922079225
-1.759596,0.0012436865861327933,-0.00017692547466154857
-1.7595951,0.0011655162140727007,1.0276540787637632e-05
-1.7595942,0.001007027662393361,-5.074806698734392e-05
-1.7595933,0.0009737614842854659,5.960928372488149e-06
-1.7595924,0.001375390238640267,-0.00014934203199990786
-1.7595915,0.001455602678767578,-0.0004412201512459368
-1.7595906,0.0011475441644132622,-0.00024754657585033835
-1.7595897,0.0009783696290059745,-0.0003739803664306662
-1.7595888,0.0016589935541721354,-0.0003258182582919945
-1.7595879,0.0013319477135322116,-0.00041312099600999725
-1.759587,0.001678795402868354,-9.114634999091437e-05
-1.7595861,0.001007314725339672,-0.00014360808147667766
-1.7595852,0.0012210698125860182,-0.0002064091474944787
-1.7595843,0.0012908702633565691,-0.00028293044426113887
-1.7595834,0.0011698948331970464,-0.0004990984517257132
-1.7595825,0.001087789737173668,-0.00013653930901999894
-1.7595816,0.0012022834591562217,-2.52194401221876e-05
-1.7595807,0.001231274440531594,-0.00022912704088686616
-1.7595798,0.0017536598539923903,-0.00020713396708479175
-1.7595789,0.001675763612772646,-6.751041768594526e-05
-1.759578,0.0012082897695676218,1.4269913155117495e-05
-1.7595771,0.0007806744208311296,-0.00037693745750724356
-1.7595762,0.001350813724719849,-0.00016242339039109204
-1.7595753,0.0013389609147247063,-0.00017840986660683805
-1.7595744,0.001394628026011396,-6.449917725014831e-07
-1.7595735,0.0006263694649537272,-0.0005077934201337443
